Epoch 01  val_rmse(scaled)=0.04118
Epoch 02  val_rmse(scaled)=0.02595
Epoch 03  val_rmse(scaled)=0.02743
Epoch 04  val_rmse(scaled)=0.02299
Epoch 05  val_rmse(scaled)=0.01871
Epoch 06  val_rmse(scaled)=0.02844
Epoch 07  val_rmse(scaled)=0.02367
Epoch 08  val_rmse(scaled)=0.01659
Epoch 09  val_rmse(scaled)=0.01351
Epoch 10  val_rmse(scaled)=0.01228
Epoch 11  val_rmse(scaled)=0.02503
Epoch 12  val_rmse(scaled)=0.01275
Epoch 13  val_rmse(scaled)=0.01149
Epoch 14  val_rmse(scaled)=0.01196
Epoch 15  val_rmse(scaled)=0.01544
Epoch 16  val_rmse(scaled)=0.01135
Epoch 17  val_rmse(scaled)=0.01087
Epoch 18  val_rmse(scaled)=0.01414
Epoch 19  val_rmse(scaled)=0.01350
Epoch 20  val_rmse(scaled)=0.01350
Epoch 21  val_rmse(scaled)=0.01039
Epoch 22  val_rmse(scaled)=0.01062
Epoch 23  val_rmse(scaled)=0.01232
Epoch 24  val_rmse(scaled)=0.01305
Epoch 25  val_rmse(scaled)=0.01149
Epoch 26  val_rmse(scaled)=0.01253
Epoch 27  val_rmse(scaled)=0.01097
Epoch 28  val_rmse(scaled)=0.01154
Epoch 29  val_rmse(scaled)=0.01093
Epoch 30  val_rmse(scaled)=0.01214
Epoch 31  val_rmse(scaled)=0.02057
Epoch 32  val_rmse(scaled)=0.01013
Epoch 33  val_rmse(scaled)=0.01063
Epoch 34  val_rmse(scaled)=0.01075
Epoch 35  val_rmse(scaled)=0.01484
Epoch 36  val_rmse(scaled)=0.01550
Epoch 37  val_rmse(scaled)=0.01490
Epoch 38  val_rmse(scaled)=0.01091
Epoch 39  val_rmse(scaled)=0.00979
Epoch 40  val_rmse(scaled)=0.00930
Epoch 41  val_rmse(scaled)=0.01081
Epoch 42  val_rmse(scaled)=0.01253
Epoch 43  val_rmse(scaled)=0.01026
Epoch 44  val_rmse(scaled)=0.01049
Epoch 45  val_rmse(scaled)=0.00974
Epoch 46  val_rmse(scaled)=0.01443
Epoch 47  val_rmse(scaled)=0.01666
Epoch 48  val_rmse(scaled)=0.01549
Epoch 49  val_rmse(scaled)=0.01071
Epoch 50  val_rmse(scaled)=0.00965
Epoch 51  val_rmse(scaled)=0.00983
Epoch 52  val_rmse(scaled)=0.01016
Epoch 53  val_rmse(scaled)=0.00884
Epoch 54  val_rmse(scaled)=0.01101
Epoch 55  val_rmse(scaled)=0.00878
Epoch 56  val_rmse(scaled)=0.01484
